v8-version,4,4,63,30,0
code-creation,Builtin,4,0x23d2c91f9a0,313,"ReflectConstruct"
code-creation,Stub,2,0x23d2c91fae0,430,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,2,0x23d2c91fca0,546,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,2,0x23d2c91fee0,462,"InternalArrayNArgumentsConstructorStub"
tick,0x7fcd18c90187,41688,0,0x0,4
code-creation,Stub,2,0x23d2c9200c0,430,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,2,0x23d2c920280,546,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,2,0x23d2c9204c0,462,"InternalArrayNArgumentsConstructorStub"
code-creation,Stub,2,0x23d2c9206a0,206,"InternalArrayConstructorStub"
code-creation,Builtin,4,0x23d2c920780,116,"InternalArrayCode"
code-creation,Stub,2,0x23d2c920800,603,"ArrayConstructorStub_Any"
tick,0x7fcd18c90187,42789,0,0x0,4
code-creation,Builtin,4,0x23d2c920a60,123,"ArrayCode"
code-creation,Builtin,4,0x23d2c920ae0,479,"StringConstructCode"
code-creation,Builtin,4,0x23d2c920cc0,175,"OnStackReplacement"
code-creation,Builtin,4,0x23d2c920d80,110,"InterruptCheck"
code-creation,Builtin,4,0x23d2c920e00,162,"OsrAfterStackCheck"
code-creation,Builtin,4,0x23d2c920ec0,110,"StackCheck"
code-creation,Builtin,4,0x23d2c920f40,203,"MarkCodeAsToBeExecutedOnce"
code-creation,Builtin,4,0x23d2c921020,203,"MarkCodeAsExecutedOnce"
code-creation,Builtin,4,0x23d2c921100,194,"MarkCodeAsExecutedTwice"
code-creation,Builtin,4,0x23d2c9211e0,194,"MakeQuadragenarianCodeYoungAgainOddMarking"
code-creation,Builtin,4,0x23d2c9212c0,194,"MakeQuadragenarianCodeYoungAgainEvenMarking"
code-creation,Builtin,4,0x23d2c9213a0,194,"MakeQuinquagenarianCodeYoungAgainOddMarking"
tick,0x7fcd18c90187,43774,0,0x0,4
code-creation,Builtin,4,0x23d2c921480,194,"MakeQuinquagenarianCodeYoungAgainEvenMarking"
code-creation,Builtin,4,0x23d2c921560,194,"MakeSexagenarianCodeYoungAgainOddMarking"
code-creation,Builtin,4,0x23d2c921640,194,"MakeSexagenarianCodeYoungAgainEvenMarking"
code-creation,Builtin,4,0x23d2c921720,194,"MakeSeptuagenarianCodeYoungAgainOddMarking"
code-creation,Builtin,4,0x23d2c921800,194,"MakeSeptuagenarianCodeYoungAgainEvenMarking"
code-creation,Builtin,4,0x23d2c9218e0,194,"MakeOctogenarianCodeYoungAgainOddMarking"
code-creation,Builtin,4,0x23d2c9219c0,194,"MakeOctogenarianCodeYoungAgainEvenMarking"
code-creation,Builtin,3,0x23d2c921aa0,117,"LoadIC_Slow"
code-creation,Builtin,3,0x23d2c921b20,117,"KeyedLoadIC_Slow"
code-creation,Builtin,3,0x23d2c921ba0,118,"StoreIC_Slow"
code-creation,Builtin,3,0x23d2c921c20,118,"KeyedStoreIC_Slow"
code-creation,Stub,2,0x23d2c921ca0,972,"NameDictionaryLookupStub"
code-creation,Builtin,3,0x23d2c922080,275,"LoadIC_Normal"
code-creation,Stub,2,0x23d2c9221a0,991,"NameDictionaryLookupStub"
tick,0x7fcd18c90187,44893,0,0x0,4
code-creation,Builtin,3,0x23d2c922580,345,"StoreIC_Normal"
code-creation,Builtin,4,0x23d2c9226e0,199,"Return_DebugBreak"
